iter	RMSE
222	1.652654027
223	1.651442771
224	1.649406364
225	1.648108267
226	1.647150691
227	1.646111882
228	1.644697745
229	1.643213157
230	1.642170466
231	1.640804383
232	1.639360752
233	1.637872451
234	1.636711377
235	1.636126704
236	1.634079007
237	1.632203821
238	1.63038679
239	1.629685029
240	1.628156936
241	1.626485861
242	1.62525023
243	1.624157296
244	1.622720012
245	1.621487348
246	1.620625664
247	1.618544921
248	1.617412634
249	1.61601091
250	1.614222148
251	1.613471106
252	1.611463082
253	1.610398618
254	1.60891559
255	1.607807207
256	1.605432644
257	1.603770499
258	1.601987497
259	1.600690319
260	1.599782484
261	1.599087237
262	1.597801128
263	1.595430196
264	1.593994738
265	1.592140495
266	1.58996712
267	1.58771336
268	1.586465332
269	1.584888529
270	1.583439358
271	1.582236956
272	1.580214368
273	1.579374176
274	1.578348754
275	1.576580799
276	1.574531639
277	1.572858982
278	1.572421756
279	1.570492811
280	1.568735168
281	1.567652208
282	1.565728836
283	1.564843963
284	1.5637709
285	1.563206042
286	1.561472984
287	1.559610071
288	1.557747157
289	1.55600469
290	1.55499724
291	1.553921185
292	1.552407457
293	1.551393759
294	1.550448921
295	1.549372724
296	1.548404582
297	1.547615971
298	1.545295951
299	1.543584633
300	1.54259148
301	1.539724476
302	1.538781553
303	1.537878452
304	1.536237811
305	1.535689128
306	1.534186085
307	1.533584925
308	1.532051473
309	1.529871588
310	1.528458336
311	1.527208907
312	1.525662682
313	1.524197687
314	1.523286563
315	1.521955593
316	1.520829945
317	1.520683395
318	1.519298169
319	1.517905886
320	1.516941873
321	1.51552685
322	1.514288973
323	1.513403581
324	1.511999049
325	1.511021617
326	1.50928497
327	1.506965887
328	1.504955844
329	1.504215258
330	1.50401292
331	1.502642153
332	1.501370908
333	1.501116936
334	1.498714437
335	1.497007957
336	1.496036366
337	1.494687819
338	1.493666949
339	1.492983396
340	1.492368607
341	1.489945615
342	1.489472237
343	1.487710139
344	1.486732022
345	1.48510175
346	1.484003644
347	1.482165713
348	1.481380296
349	1.480177131
350	1.478270873
351	1.47746332
352	1.475363833
353	1.473887064
354	1.471624139
355	1.470342215
356	1.470034805
357	1.468626098
358	1.467091276
359	1.465754652
360	1.464075489
361	1.463192892
362	1.46137776
363	1.460520009
364	1.460131033
365	1.459808055
366	1.458080023
367	1.456741766
368	1.455264653
369	1.453291197
370	1.452001826
371	1.451272219
372	1.449345788
373	1.448618673
374	1.446958614
375	1.444740035
376	1.44445873
377	1.442276143
378	1.440596577
379	1.439337341
380	1.438282611
381	1.437562022
382	1.434944214
383	1.434715697
384	1.433846136
385	1.433270275
386	1.432347834
387	1.431177549
388	1.430612437
389	1.429738957
390	1.428152555
391	1.426877295
392	1.424985216
393	1.422972593
394	1.422088653
395	1.421989896
396	1.420351593
397	1.419246655
398	1.418708198
399	1.417293266
400	1.416282871
401	1.414961556
402	1.413404668
403	1.411313351
404	1.410220343
405	1.408692808
406	1.407488713
407	1.406422275
408	1.404404094
409	1.402995709
410	1.402745413
411	1.401634072
412	1.401211636
413	1.400199864
414	1.398774357
415	1.397878376
416	1.396564119
417	1.396114121
418	1.394658265
419	1.394552402
420	1.393498801
421	1.391390446
422	1.390216572
423	1.389512752
424	1.388475503
425	1.38661203
426	1.385984539
427	1.38511801
428	1.384057883
429	1.383446369
430	1.382577101
431	1.382133607
432	1.380168673
433	1.378862824
434	1.377871123
435	1.37706385
436	1.375606243
437	1.374643885
438	1.373711152
439	1.372443849
440	1.371363012
441	1.369678979
442	1.368463733
443	1.367811028
444	1.367121338
445	1.36568174
446	1.364116239
447	1.362837251
448	1.362292305
449	1.361392333
450	1.360303697
451	1.359708025
452	1.359426005
453	1.358591772
454	1.357325402
455	1.355508844
456	1.354297613
457	1.353834193
458	1.352875969
459	1.351908587
460	1.351354739
461	1.349561812
462	1.34835206
463	1.347822788
464	1.346813369
465	1.345764382
466	1.345142248
467	1.344218686
468	1.34324525
469	1.342765479
470	1.341645486
471	1.340117265
472	1.339412409
473	1.338360881
474	1.337568597
475	1.337156445
476	1.33613784
477	1.335224949
478	1.334017053
479	1.333392051
480	1.332891214
481	1.331928958
482	1.331562688
483	1.330293187
484	1.328673104
485	1.328331611
486	1.327641736
487	1.326250879
488	1.325422024
489	1.325330331
490	1.32438811
491	1.32247257
492	1.321983436
493	1.321737117
494	1.320084323
495	1.319605327
496	1.31909102
497	1.318347777
498	1.317215865
499	1.316577203
500	1.316036831
501	1.315605716
502	1.315522244
503	1.314009488
504	1.312567975
505	1.312281904
506	1.311205228
507	1.311115501
508	1.310875967
509	1.310321152
510	1.310058909
511	1.308238653
512	1.307347636
513	1.306914588
514	1.3050959
515	1.304547593
516	1.303590722
517	1.302773921
518	1.301983387
519	1.301438556
520	1.300713733
521	1.29991891
522	1.299463772
523	1.297867377
524	1.297025935
525	1.295775048
526	1.294724476
527	1.29427164
528	1.293317296
529	1.292596146
530	1.29202386
531	1.291297788
532	1.290312026
533	1.289341928
534	1.288737128
535	1.288659508
536	1.287835656
537	1.287066299
538	1.285694657
539	1.28392917
540	1.282236853
541	1.281799175
542	1.280348668
543	1.280206062
544	1.279474515
545	1.279191045
546	1.278002945
547	1.27796095
548	1.277130796
549	1.27703703
550	1.27586081
551	1.274178931
552	1.274120963
553	1.273103204
554	1.272722573
555	1.272143066
556	1.270443027
557	1.269572854
558	1.268698968
559	1.26861304
560	1.267142363
561	1.266285197
562	1.265107085
563	1.264251176
564	1.263866362
565	1.26319855
566	1.262904933
567	1.262391236
568	1.261982727
569	1.26122411
570	1.260274522
571	1.259934825
572	1.259296439
573	1.258097659
574	1.257040458
575	1.255466473
576	1.255387291
577	1.254625274
578	1.25348778
579	1.252425482
580	1.251774628
581	1.250656019
582	1.249292899
583	1.248736531
584	1.24789945
585	1.247146568
586	1.246290336
587	1.244916721
588	1.243697383
589	1.242996785
590	1.241992035
591	1.240940244
592	1.240502183
593	1.239656897
594	1.23900823
595	1.238939729
596	1.238017826
597	1.23744422
598	1.236035755
599	1.235470476
600	1.234982612
601	1.233804775
602	1.233281598
603	1.233201902
604	1.232047895
605	1.231698126
606	1.231221741
607	1.231129231
608	1.230324371
609	1.229449748
610	1.228706831
611	1.228593899
612	1.228535396
613	1.227679767
614	1.226978035
615	1.225199685
616	1.224538639
617	1.223575782
618	1.223417304
619	1.222388646
620	1.221327239
621	1.220231981
622	1.219448516
623	1.218205509
624	1.217435714
625	1.216947598
626	1.216124576
627	1.215410379
628	1.214779865
629	1.213815639
630	1.213735582
631	1.213496083
632	1.21310129
633	1.211829226
634	1.21166997
635	1.211295103
636	1.210643536
637	1.209673188
638	1.208572849
639	1.207422971
640	1.206591428
641	1.20651935
642	1.205712754
643	1.204883862
644	1.204325078
645	1.203328207
646	1.202972396
647	1.202168145
648	1.201461621
649	1.200543441
650	1.200407665
651	1.19978288
652	1.198933866
653	1.198497911
654	1.197779889
655	1.197296845
656	1.195666954
657	1.195035684
658	1.194218073
659	1.193530807
660	1.192657229
661	1.192223966
662	1.191479777
663	1.191096064
664	1.190381683
665	1.18962956
666	1.18917885
667	1.189030335
668	1.188642028
669	1.188401215
670	1.188278987
671	1.187620234
672	1.187249512
673	1.185804963
674	1.184373379
675	1.183825361
676	1.18329843
677	1.182847455
678	1.182657617
679	1.181847598
680	1.181483269
681	1.180917708
682	1.180382214
683	1.179539182
684	1.179509845
685	1.179069342
686	1.177335318
687	1.176590691
688	1.175607884
689	1.175245589
690	1.174394533
691	1.173259045
692	1.172932876
693	1.172171018
694	1.171828941
695	1.171482345
696	1.171178035
697	1.171107558
698	1.170576205
699	1.16958706
700	1.16911088
701	1.168960032
702	1.168004152
703	1.166997874
704	1.165713181
705	1.16501421
706	1.164201625
707	1.16323642
708	1.163085477
709	1.162488803
710	1.161919851
711	1.161586208
712	1.160759243
713	1.160484797
714	1.160233336
715	1.159416593
716	1.158496631
717	1.157342881
718	1.156573509
719	1.156372435
720	1.155819954
721	1.155396322
722	1.154804485
723	1.154395467
724	1.154340299
725	1.153301968
726	1.153078121
727	1.152506091
728	1.151196025
729	1.150374785
730	1.149914877
731	1.149233275
732	1.148904332
733	1.147669179
734	1.147008897
735	1.146516101
736	1.146301991
737	1.14612763
738	1.145811528
739	1.145186641
740	1.144700382
741	1.143938109
742	1.143423344
743	1.143106155
744	1.142815086
745	1.141903753
746	1.141008037
747	1.140791073
748	1.140031863
749	1.139300509
750	1.139098372
751	1.138886997
752	1.138145703
753	1.137589859
754	1.136750545
755	1.135840766
756	1.134873419
757	1.134616746
758	1.13456755
759	1.133750438
760	1.133218949
761	1.132611907
762	1.131764331
763	1.131219059
764	1.130063916
765	1.129133779
766	1.128917447
767	1.128362133
768	1.12789539
769	1.127040107
770	1.125994794
771	1.125649814
772	1.125083363
773	1.123977934
774	1.123658498
775	1.123504734
776	1.123219376
777	1.123052987
778	1.122504906
779	1.1218575
780	1.12123231
781	1.120858244
782	1.12058786
783	1.119473995
784	1.118602244
785	1.118248672
786	1.1182322
787	1.117633341
788	1.116756231
789	1.116094042
790	1.115912137
791	1.115342717
792	1.114727456
793	1.113870471
794	1.112777247
795	1.112103375
796	1.111406325
797	1.110812612
798	1.110364755
799	1.10998195
800	1.108871986
801	1.108218858
802	1.107673361
803	1.106986031
804	1.106321982
805	1.105926728
806	1.105789903
807	1.105223945
808	1.10498379
809	1.104381557
810	1.103892824
811	1.103541622
812	1.1030066
813	1.102496438
814	1.101884054
815	1.101064459
816	1.100473676
817	1.099963172
818	1.099598721
819	1.099217052
820	1.098355251
821	1.097576563
822	1.097092058
823	1.09630523
824	1.095310348
825	1.094586127
826	1.093734193
827	1.09266911
828	1.09222317
829	1.092006119
830	1.091507977
831	1.090703803
832	1.090189261
833	1.089721968
834	1.088708077
835	1.088313413
836	1.087931052
837	1.087730704
838	1.087674234
839	1.087136518
840	1.086061447
841	1.085892934
842	1.08584294
843	1.085338973
844	1.08514788
845	1.084215956
846	1.082934447
847	1.082386642
848	1.081853212
849	1.081427031
850	1.081145183
851	1.080701067
852	1.079975757
853	1.079398208
854	1.078576524
855	1.078049235
856	1.077553954
857	1.077114313
858	1.077055439
859	1.076336269
860	1.076184203
861	1.076170304
862	1.075846279
863	1.075248537
864	1.074656863
865	1.074173189
866	1.073752678
867	1.073334326
868	1.073211056
869	1.07281154
870	1.072749155
871	1.071709575
872	1.07141696
873	1.070525418
874	1.069791489
875	1.069459543
876	1.06892489
877	1.068794437
878	1.067989393
879	1.067595152
880	1.067208074
881	1.066949691
882	1.066386091
883	1.066136304
884	1.065088003
885	1.064647147
886	1.064598238
887	1.064000169
888	1.063756523
889	1.063335372
890	1.06244805
891	1.062053221
892	1.061690036
893	1.060682483
894	1.060430949
895	1.060091845
896	1.059823693
897	1.059631202
898	1.058992436
899	1.058681763
900	1.058151377
901	1.057019109
902	1.056806316
903	1.056310942
904	1.056104776
905	1.055921615
906	1.055000547
907	1.054126955
908	1.05402377
909	1.053613008
910	1.053560951
911	1.052780764
912	1.052718534
913	1.052010849
914	1.050919287
915	1.049970085
916	1.049113273
917	1.048506393
918	1.047799714
919	1.046936018
920	1.046257163
921	1.045915722
922	1.04562192
923	1.044767517
924	1.044730345
925	1.043591785
926	1.043093047
927	1.042822936
928	1.042018808
929	1.041697762
930	1.041246122
931	1.040947789
932	1.040063122
933	1.03995801
934	1.039382977
935	1.038919831
936	1.038746816
937	1.038702771
938	1.037791031
939	1.037702722
940	1.03713946
941	1.036719587
942	1.036034945
943	1.035589178
944	1.034988952
945	1.034238832
946	1.034007699
947	1.032896367
948	1.03266965
949	1.032412744
950	1.032392422
951	1.03219203
952	1.031384315
953	1.03075748
954	1.030685116
955	1.029680741
956	1.028886772
957	1.028549901
958	1.028309606
959	1.02775122
960	1.027609404
961	1.02753041
962	1.026345018
963	1.025997703
964	1.025723603
965	1.025184626
966	1.025036447
967	1.024247414
968	1.023563835
969	1.023278398
970	1.022927728
971	1.022452784
972	1.021997213
973	1.021857013
974	1.021536135
975	1.021456958
976	1.020884071
977	1.020515148
978	1.020206489
979	1.019740643
980	1.018942695
981	1.018241634
982	1.017662452
983	1.016957035
984	1.016853953
985	1.016426643
986	1.016210005
987	1.016116689
988	1.015213071
989	1.014897102
990	1.014517028
991	1.01433904
992	1.013521746
993	1.013205176
994	1.01280849
995	1.012212404
996	1.011572768
997	1.010681648
998	1.009695417
999	1.009045661
